"hrs_work","race","age","gender","time_to_work","married","edu","log_inc"
"1",40,1,35,1,15,1,1,7.43838353004431
"2",84,0,27,0,40,1,1,10.7144177687525
"3",23,0,69,1,5,1,1,9.0595174822416
"4",55,0,52,0,20,1,1,10.4193007178132
"5",8,0,67,1,10,1,1,8.29404964010203
"6",35,0,36,1,15,1,0,9.85219425814858
"7",40,0,35,1,30,1,1,11.8493977015914
"8",23,0,32,1,45,1,1,9.39266192877014
"9",72,1,35,0,25,1,1,10.7144177687525
"10",40,0,51,0,10,1,0,11.9183905730784
"11",50,1,50,0,40,1,0,11.1562505210315
"12",35,0,20,1,10,1,1,9.39266192877014
"13",40,0,61,0,10,1,1,10.1064283965328
"14",40,0,61,1,10,1,0,10.7144177687525
"15",35,0,43,1,10,1,0,11.1562505210315
"16",40,0,27,0,20,1,1,10.4631033404715
"17",40,0,32,1,35,1,1,10.3417424834673
"18",70,0,28,0,3,1,1,9.85219425814858
"19",45,0,48,0,40,1,0,10.8197782844103
"20",50,0,33,0,65,1,0,11.3504065354725
"21",40,0,27,0,45,1,0,11.5129254649702
"22",55,0,32,0,10,1,0,10.7995755770928
"23",24,0,33,1,5,1,1,9.16951837745593
"24",55,0,75,0,15,0,0,12.7158977689626
"25",50,0,37,0,30,1,0,11.1562505210315
"26",20,0,64,1,15,1,0,9.61580548008435
"27",10,0,22,0,15,1,1,8.77955745588373
"28",40,1,50,0,25,1,1,11.0020998412042
"29",45,0,28,1,45,1,0,10.4042628404486
"30",50,0,56,0,3,1,1,11.0020998412042
"31",38,0,62,1,30,1,1,10.3417424834673
"32",40,0,50,1,30,1,1,10.4631033404715
"33",50,0,50,0,99,1,1,9.7981270368783
"34",29,0,41,1,20,1,0,9.28730141311231
"35",10,0,16,0,5,0,1,7.60090245954208
"36",45,0,53,0,15,1,1,10.3734911817819
"37",40,0,48,0,25,1,1,11.0020998412042
"38",42,0,48,1,20,1,1,9.10497985631836
"39",25,0,22,0,15,0,0,9.45720044990771
"40",5,0,25,0,30,1,0,7.09007683577609
"41",40,0,49,0,15,1,0,10.4042628404486
"42",40,0,35,1,20,1,1,10.0858091093301
"43",40,0,33,1,10,1,0,10.3734911817819
"44",60,0,51,0,30,1,0,12.0317192583854
"45",20,1,18,0,5,0,1,8.38935981990635
"46",18,0,36,1,5,1,1,9.21034037197618
"47",35,0,26,1,15,1,0,10.0345158149425
"48",40,1,60,1,10,1,1,10.4341158035983
"49",20,0,21,0,30,0,1,8.51719319141624
"50",40,0,25,0,30,0,1,9.72913416539135
"51",40,0,47,0,5,0,1,10.1266311038503
"52",35,0,37,1,10,1,0,11.870599909242
"53",40,0,27,0,30,0,0,9.90348755253613
"54",36,0,60,1,45,1,1,10.7144177687525
"55",15,1,17,0,10,0,1,6.39692965521615
"56",40,1,49,1,20,1,1,10.0432494949113
"57",30,0,45,0,2,1,1,10.7144177687525
"58",70,0,53,0,20,0,1,10.6689553946757
"59",37,0,55,0,5,1,1,10.5186731916264
"60",60,0,66,0,50,1,0,10.9150884642146
"61",50,0,59,0,45,1,0,10.9681982895286
"62",40,0,50,0,5,1,0,12.7938593104323
"63",40,1,32,1,20,1,0,11.7519423654407
"64",50,0,41,0,15,1,0,12.1909590077201
"65",40,0,27,1,10,1,1,9.90348755253613
"66",35,0,42,1,5,1,0,9.88328484521861
"67",38,0,66,1,30,1,1,10.1023384112813
"68",42,0,35,0,15,0,1,11.0186291431554
"69",40,0,29,0,60,1,0,10.5966347330961
"70",40,0,29,0,15,0,1,8.76405326934776
"71",40,0,21,0,10,0,1,9.7981270368783
"72",40,1,48,0,45,1,0,11.0020998412042
"73",40,0,25,1,45,1,1,9.61580548008435
"74",45,0,48,0,15,1,0,11.9511803959014
"75",60,0,45,1,15,1,1,10.7144177687525
"76",15,0,20,1,10,1,1,8.00636756765025
"77",22,1,19,1,20,1,1,8.00636756765025
"78",40,0,33,0,20,0,1,9.57498348556409
"79",40,0,34,0,50,1,1,10.0432494949113
"80",50,0,30,0,45,0,0,11.4075649493124
"81",40,1,42,1,8,1,1,9.68034400122192
"82",40,0,40,0,142,1,0,11.5129254649702
